word_original	en	fr	de	ru	zh	es	ja	ko	it	claude_en	claude_fr	claude_de	claude_ru	claude_zh	claude_es	claude_ja	claude_ko	claude_it
wood	wood	bois	Holz	дерево	木	madera	木	나무	legno	['timber', 'lumber', 'forest', 'woodland']	['forêt', 'bosquet', 'bûche']	['Wald', 'Gehölz', 'Forst', 'Hain']	['древесина', 'лес', 'роща']	['木头', '木材', '树木']	['leño', 'bosque', 'palo', 'tabla']	['木材', '森', '林', '樹木']	"[""목재"", ""목"", ""숲"", ""삼림""]"	"[""bosco"", ""foresta"", ""legname"", ""boschetto""]"
village	village	village	Dorf	деревня	村	pueblo	村	마을	villaggio	['hamlet', 'settlement', 'community', 'town']	['hameau', 'bourg', 'bourgade']	['Ortschaft', 'Siedlung', 'Weiler', 'Flecken']	['село', 'поселок', 'селение']	['村庄', '村子', '乡村', '农村']	['aldea', 'poblado', 'caserío', 'localidad']	['集落', '町', '里', '農村']	"[""촌"", ""동네"", ""부락"", ""어촌"", ""농촌""]"	"[""borgo"", ""paese"", ""paesino"", ""paesello""]"
forest	forest	forêt	Wald	лес	森林	bosque	森	숲	foresta	['woods', 'woodland', 'grove', 'jungle']	['bois', 'futaie', 'sylve']	['Forst', 'Gehölz', 'Hain', 'Holz', 'Wäldchen']	['бор', 'роща', 'чаща']	['树林', '林地', '密林', '丛林']	['selva', 'arboleda', 'floresta', 'jungla']	['林', '樹海', '森林']	"[""산림"", ""삼림"", ""수풀"", ""밀림""]"	"[""bosco"", ""selva"", ""boscaglia""]"
fruit	fruit	fruit	Obst	фрукт	水果	fruta	果物	과일	frutto	['produce', 'crop', 'harvest', 'yield']	['produit', 'résultat']	['Frucht', 'Früchte', 'Ernte']	['плод', 'фруктовый']	['果实', '果品', '果子']	['fruto', 'producto', 'resultado']	['フルーツ', '実', '成果', '結果']	"[""열매"", ""실과"", ""청과"", ""주스""]"	"[""frutta"", ""prodotto"", ""risultato""]"
song	song	chanson	Lied	песня	歌	canción	歌	노래	canzone	['melody', 'tune', 'hymn', 'ballad', 'anthem']	['mélodie', 'air', 'morceau', 'chant']	['Gesang', 'Weise', 'Melodie', 'Chanson', 'Schlager']	['мелодия', 'композиция', 'музыкальное произведение']	['歌曲', '歌词', '歌谣', '曲子']	['melodía', 'tema', 'tonada', 'canto']	['楽曲', '歌謡', '唄', 'ソング']	"[""가곡"", ""음악"", ""가요"", ""곡""]"	"[""brano"", ""melodia"", ""aria"", ""motivo""]"
water	water	eau	Wasser	вода	水	agua	水	물	acqua	['liquid', 'fluid', 'H2O', 'aqua']	['liquide', 'flotte', 'onde']	['Flüssigkeit', 'Nass', 'Aqua', 'Gewässer']	['жидкость', 'влага']	['液体', '水分', '水源', '水域']	['líquido', 'fluido', 'acuático']	['液体', '湯', '雨', '海']	"[""수"", ""액체"", ""음료수"", ""강물"", ""바닷물""]"	"[""acque"", ""liquido"", ""fluido""]"
river	river	rivière	Fluss	река	河	río	川	강	fiume	['stream', 'creek', 'brook', 'tributary']	['fleuve', 'cours d'eau']	['Strom', 'Wasserlauf', 'Fließgewässer']	['речка', 'поток', 'течение']	['河流', '江', '溪', '川']	['cauce', 'corriente', 'riachuelo', 'arroyo']	['河川', '河', '流れ', '渓流']	"[""하천"", ""개울"", ""시내"", ""강물""]"	"[""corso d'acqua"", ""torrente"", ""affluente""]"
law	law	loi	Gesetz	закон	法律	ley	法律	법률	legge	['rule', 'regulation', 'statute', 'legislation']	['règle', 'législation', 'droit']	['Recht', 'Regel', 'Verordnung', 'Vorschrift', 'Bestimmung']	['право', 'правило', 'норма']	['法规', '法令', '法则', '条例']	['norma', 'regla', 'estatuto', 'decreto', 'legislación']	['法令', '法規', '規則', '条例']	"[""법"", ""법규"", ""규정"", ""조례"", ""법전""]"	"[""norma"", ""regola"", ""statuto"", ""decreto""]"
wave	wave	vague	Welle	волна	波	ola	波	파도	onda	['ripple', 'swell', 'surge', 'breaker']	['onde', 'flot', 'lame']	['Woge', 'Brandung', 'Dünung', 'Schwingung']	['вал', 'зыбь']	['波浪', '波涛', '波动', '浪潮']	['oleaje', 'ondulación', 'marejada']	['波動', '波浪', '波紋', '浪']	"[""물결"", ""파"", ""풍랑"", ""너울""]"	"[""flutto"", ""maroso"", ""ondulazione""]"
ocean	ocean	océan	Ozean	океан	海洋	océano	海洋	대양	oceano	['sea', 'deep', 'brine', 'main']	['mer', 'large']	['Meer', 'Weltmeer', 'See']	['море', 'водное пространство']	['大海', '海', '洋']	['mar', 'piélago']	['大洋', '外洋', '海', '深海']	"[""바다"", ""해양"", ""양"", ""해""]"	"[""mare"", ""pelago""]"
cave	cave	grotte	Höhle	пещера	洞穴	cueva	洞窟	동굴	caverna	['cavern', 'grotto', 'hollow', 'den']	['caverne', 'antre', 'cavité']	['Grotte', 'Kaverne', 'Hohlraum', 'Loch']	['грот', 'подземелье']	['山洞', '岩洞', '地洞', '窟']	['caverna', 'gruta', 'cavidad', 'antro']	['鍾乳洞', '洞穴', '窟', '巣穴']	"[""굴"", ""동"", ""동천"", ""석굴""]"	"[""grotta"", ""antro"", ""spelonca""]"
sea	sea	mer	Meer	море	海	mar	海	바다	mare	['ocean', 'marine', 'maritime', 'aquatic']	['océan', 'large', 'flots']	['Ozean', 'See', 'Gewässer']	['океан', 'водоем']	['海洋', '大海', '海域']	['océano', 'piélago', 'marino']	['海洋', '海面', '大海', '洋']	"[""해"", ""해양"", ""대양"", ""해변""]"	"[""oceano"", ""marina""]"
lake	lake	lac	See	озеро	湖	lago	湖	호수	lago	['pond', 'lagoon', 'reservoir', 'basin']	['étang', 'mare', 'bassin']	['Teich', 'Weiher', 'Gewässer']	['водоем', 'пруд']	['湖泊', '湖水', '池']	['laguna', 'embalse', 'estanque']	['湖沼', '池', '湖水', '湖畔']	"[""못"", ""담수호"", ""내호"", ""저수지""]"	"[""bacino"", ""specchio d'acqua""]"
fire	fire	feu	Feuer	огонь	火	fuego	火	불	fuoco	['flame', 'blaze', 'inferno', 'conflagration']	['flamme', 'incendie', 'brasier']	['Brand', 'Flamme', 'Glut', 'Lohe']	['пламя', 'костер', 'пожар']	['火焰', '火苗', '火光', '火灾']	['llama', 'incendio', 'hoguera', 'fogata']	['炎', '火災', '火事', '燃焼']	"[""화재"", ""화염"", ""불꽃"", ""소방""]"	"[""fiamma"", ""incendio"", ""focolare""]"
point	point	point	Punkt	точка	点	punto	点	점	punto	['tip', 'edge', 'apex', 'vertex']	['pointe', 'endroit', 'lieu']	['Stelle', 'Ort', 'Spitze', 'Punkt']	['пункт', 'момент', 'вопрос']	['点子', '要点', '观点', '地点']	['lugar', 'sitio', 'momento', 'instante', 'grado']	['箇所', '地点', '先端', '得点']	"[""지점"", ""요점"", ""핵심"", ""득점""]"	"[""puntino"", ""posizione"", ""luogo"", ""argomento""]"
version	version	version	Version	версия	版本	versión	版	버전	versione	['edition', 'variant', 'iteration', 'release']	['édition', 'variante', 'interprétation']	['Fassung', 'Ausführung', 'Variante', 'Ausgabe']	['вариант', 'редакция', 'интерпретация']	['版次', '版式', '型号']	['adaptación', 'interpretación', 'variante', 'modelo']	['バージョン', '改訂版', '型', '種類']	"[""판"", ""개정판"", ""판본"", ""판형""]"	"[""edizione"", ""variante"", ""interpretazione""]"
ball	ball	balle	Ball	мяч	球	pelota	球	공	palla	['sphere', 'orb', 'globe', 'round']	['ballon', 'boule', 'sphère']	['Kugel', 'Spielzeug', 'Tanzveranstaltung']	['шар', 'сфера']	['球体', '球类', '圆球']	['balón', 'esfera', 'bola', 'globo']	['ボール', '玉', '球体', '弾']	"[""구"", ""구체"", ""축구공"", ""야구공""]"	"[""sfera"", ""pallone"", ""ballo""]"
painting	painting	peinture	Gemälde	картина	画	pintura	絵画	그림	dipinto	['artwork', 'canvas', 'portrait', 'mural']	['tableau', 'toile', 'œuvre']	['Bild', 'Kunstwerk', 'Leinwand', 'Ölbild']	['полотно', 'холст', 'изображение']	['画作', '绘画', '图画', '油画']	['cuadro', 'lienzo', 'obra', 'retrato']	['画', '絵', '図画', '油絵']	"[""회화"", ""유화"", ""수채화"", ""화폭""]"	"[""quadro"", ""tela"", ""opera""]"
rice	rice	riz	Reis	рис	米	arroz	米	쌀	riso	['grain', 'cereal', 'paddy']	[]	['Getreide', 'Korn']	[]	['稻米', '大米', '稻']	[]	['稲', '御飯', 'ライス', '穀物']	"[""밥"", ""벼"", ""곡식"", ""미곡""]"	"[""risotto"", ""risaia""]"
red	red	rouge	rot	красный	红	rojo	赤	빨간색	rosso	['crimson', 'scarlet', 'ruby', 'cardinal']	['vermeil', 'écarlate', 'pourpre']	['scharlachrot', 'purpurrot', 'karminrot', 'feuerrot']	['алый', 'багровый', 'румяный']	['红色', '赤', '朱红', '猩红']	['colorado', 'bermejo', 'escarlata', 'carmesí']	['赤色', '朱色', '紅', '赤い']	"[""적색"", ""붉은색"", ""주홍색"", ""진홍색""]"	"[""vermiglio"", ""scarlatto"", ""cremisi"", ""porpora""]"
line	line	ligne	Linie	линия	线	línea	線	선	linea	['row', 'queue', 'stripe', 'streak']	['trait', 'rangée', 'file']	['Strich', 'Reihe', 'Zeile', 'Kante', 'Gerade']	['черта', 'полоса', 'ряд']	['线条', '直线', '线路', '线段']	['raya', 'trazo', 'renglón', 'fila', 'cola']	['直線', '筋', '境界線', 'ライン']	"[""줄"", ""직선"", ""곡선"", ""경계선""]"	"[""riga"", ""retta"", ""fila"", ""coda""]"
net	net	filet	Netz	сеть	网	red	網	망	rete	['web', 'mesh', 'network', 'snare']	['réseau', 'maille']	['Gewebe', 'Geflecht', 'Fangnetz', 'Netzwerk']	['сетка', 'паутина', 'система']	['网络', '网罗', '网状物']	['malla', 'tejido', 'telaraña']	['ネット', '漁網', '巣', 'ウェブ']	"[""그물"", ""네트워크"", ""인터넷"", ""어망""]"	"[""reticolo"", ""ragnatela"", ""network""]"
tea	tea	thé	Tee	чай	茶	té	茶	차	tè	['brew', 'infusion', 'beverage', 'leaves']	['infusion', 'tisane']	['Aufguss', 'Getränk', 'Kräutertee']	['заварка', 'напиток']	['茶叶', '茶水', '茶饮']	['infusión', 'tisana']	['お茶', '紅茶', '緑茶', '茶葉']	"[""녹차"", ""홍차"", ""마시는 차"", ""티백""]"	"[""infuso"", ""tisana""]"
foot	foot	pied	Fuß	нога	脚	pie	足	발	piede	['paw', 'hoof', 'base', 'foundation']	['patte', 'base', 'socle']	['Pfote', 'Tatze', 'Sohle', 'Basis']	['ступня', 'стопа']	['足', '脚丫', '脚掌']	['pata', 'base', 'pedestal']	['脚', '足元', '歩', 'フィート']	"[""발바닥"", ""발목"", ""족"", ""보행""]"	"[""zampa"", ""base"", ""fondo""]"
gold	gold	or	Gold	золото	金	oro	金	금	oro	['bullion', 'treasure', 'wealth', 'riches']	['métal précieux', 'trésor']	['Edelmetall', 'Reichtum', 'Schatz']	['золотой', 'драгоценный металл']	['黄金', '金子', '金币']	['dorado', 'áureo', 'metal precioso']	['黄金', '金塊', '金色', '金メダル']	"[""황금"", ""금메달"", ""금화"", ""금괴""]"	"[""aureo"", ""dorato"", ""prezioso""]"
door	door	porte	Tür	дверь	门	puerta	扉	문	porta	['entrance', 'portal', 'gateway', 'entry']	['portail', 'entrée', 'accès']	['Pforte', 'Eingang', 'Tor', 'Zugang']	['вход', 'портал']	['大门', '门户', '门口']	['portal', 'entrada', 'acceso', 'portón']	['ドア', '戸', '出入り口', '門']	"[""출입구"", ""현관"", ""대문"", ""문짝""]"	"[""portone"", ""uscio"", ""ingresso""]"
snow	snow	neige	Schnee	снег	雪	nieve	雪	눈	neve	['flurry', 'blizzard', 'powder', 'sleet']	['poudreuse', 'blanche']	['Flocken', 'Weiß', 'Pulverschnee']	['снежок', 'метель', 'вьюга']	['雪花', '积雪', '雪地']	['nevada', 'nevisca', 'blancura']	['積雪', '雪景色', '降雪', '粉雪']	"[""강설"", ""백설"", ""설경"", ""눈보라""]"	"[""nevicata"", ""bianco""]"
horse	horse	cheval	Pferd	лошадь	马	caballo	馬	말	cavallo	['steed', 'stallion', 'mare', 'pony']	['destrier', 'monture', 'canasson']	['Ross', 'Gaul', 'Hengst', 'Stute']	['конь', 'скакун', 'жеребец']	['马匹', '骏马', '坐骑']	['corcel', 'equino', 'potro', 'yegua']	['競走馬', '馬匹', '駿馬', '子馬']	"[""마"", ""백마"", ""경주마"", ""조랑말""]"	"[""destriero"", ""puledro"", ""stallone""]"
one	one	un	eins	один	一	uno	一	하나	uno	['single', 'sole', 'individual', 'unit']	['unique', 'seul']	['einzig', 'einzeln', 'erste']	['единица', 'единственный']	['壹', '单一', '唯一']	['único', 'primero', 'singular']	['一つ', '単一', '唯一']	"[""일"", ""단일"", ""첫째"", ""유일""]"	"[""unico"", ""singolo"", ""primo""]"
two	two	deux	zwei	два	二	dos	二	둘	due	['pair', 'couple', 'duo', 'twin']	['paire', 'couple']	['Paar', 'Duo', 'doppelt']	['пара', 'двойка']	['贰', '双', '俩']	['par', 'dúo', 'pareja']	['二つ', '双', 'ペア']	"[""이"", ""쌍"", ""한 쌍"", ""두 개""]"	"[""paio"", ""coppia"", ""secondo""]"
five	five	cinq	fünf	пять	五	cinco	五	다섯	cinque	['quintet', 'pentad', 'quinary']	['quintuple', 'quinte']	['Quintett', 'Fünfer']	['пятерка', 'пятёрка']	['伍', '五个', '五份']	['quintal', 'quíntuple']	['五つ', '五本', '五人']	"[""오"", ""오인"", ""오개"", ""다섯째""]"	"[""quinto"", ""cinquina""]"
six	six	six	sechs	шесть	六	seis	六	여섯	sei	['half-dozen', 'sextet', 'hexad']	['demi-douzaine']	['Sechser', 'halbes Dutzend']	['шестерка', 'шестёрка']	['陆', '六个', '六份']	['media docena', 'séxtuple']	['六つ', '六人', '六日']	"[""육"", ""육개"", ""여섯째""]"	"[""sesto"", ""sestina""]"
eight	eight	huit	acht	восемь	八	ocho	八	여덟	otto	['octet', 'octad']	['octuple']	['Oktett', 'Achter']	['восьмерка', 'восьмёрка']	['捌', '八个', '八份']	['octavo', 'óctuple']	['八つ', '八人', '八日']	"[""팔"", ""여덟째"", ""팔인""]"	"[""ottavo"", ""ottetto""]"
ten	ten	dix	zehn	десять	十	diez	十	열	dieci	['decade', 'decad']	['dizaine', 'décade']	['Dekade', 'Zehner']	['десятка']	['拾', '十个', '十份']	['decena', 'década']	['十個', '拾', 'テン']	"[""십"", ""열째"", ""십개""]"	"[""decimo"", ""decina""]"
head	head	tête	Kopf	голова	头	cabeza	頭	머리	testa	['skull', 'cranium', 'crown', 'noggin']	['crâne', 'chef', 'sommet']	['Haupt', 'Schädel', 'Oberhaupt', 'Anführer']	['череп', 'умственные способности']	['头部', '脑袋', '首领']	['testa', 'cráneo', 'cerebro', 'mente', 'líder']	['頭部', '首', '脳', '頂点']	"[""두부"", ""두통"", ""두뇌"", ""정상""]"	"[""capo"", ""cranio"", ""mente""]"
shop	shop	magasin	Geschäft	магазин	商店	tienda	店	가게	negozio	['store', 'boutique', 'market', 'outlet']	['boutique', 'commerce', 'échoppe']	['Laden', 'Boutique', 'Kaufhaus', 'Store']	['лавка', 'торговая точка', 'бутик']	['店铺', '商铺', '店面', '零售店']	['almacén', 'comercio', 'negocio', 'local']	['商店', '店舗', '売店', 'ショップ']	"[""상점"", ""점포"", ""매장"", ""소매점""]"	"[""bottega"", ""emporio"", ""magazzino""]"
eye	eye	œil	Auge	глаз	眼睛	ojo	目	눈	occhio	['optic', 'peeper', 'oculus', 'orb']	['globe oculaire', 'vue']	['Sehorgan', 'Sehvermögen', 'Blick']	['око', 'взгляд', 'зрение']	['眼', '眼珠', '目']	['vista', 'mirada', 'visión']	['眼', '視力', '目つき', '眼球']	"[""안구"", ""시력"", ""시선"", ""눈동자""]"	"[""vista"", ""sguardo"", ""visione""]"
field	field	champ	Feld	поле	田	campo	畑	들판	campo	['meadow', 'pasture', 'grassland', 'plain']	['terrain', 'domaine', 'pré']	['Acker', 'Wiese', 'Bereich', 'Gebiet']	['луг', 'нива', 'область']	['田地', '田野', '农田', '稻田']	['terreno', 'prado', 'área', 'ámbito']	['田んぼ', '圃場', '農場', '野原']	"[""밭"", ""평야"", ""농장"", ""초원""]"	"[""terreno"", ""prato"", ""area"", ""settore""]"
site	site	site	Standort	сайт	网站	sitio	現場	현장	sito	['location', 'place', 'spot', 'position']	['lieu', 'endroit', 'emplacement']	['Ort', 'Stelle', 'Platz', 'Lage']	['веб-сайт', 'веб-страница', 'ресурс']	['站点', '网页', '主页']	['lugar', 'ubicación', 'emplazamiento', 'página web']	['サイト', '場所', '位置', '工事現場']	"[""장소"", ""부지"", ""위치"", ""공사장""]"	"[""luogo"", ""posto"", ""ubicazione""]"
dance	dance	danse	Tanz	танец	舞蹈	baile	踊り	춤	danza	['waltz', 'jig', 'boogie', 'ballet']	['ballet', 'chorégraphie']	['Reigen', 'Tanzveranstaltung', 'Choreografie']	['пляска', 'хореография']	['舞', '跳舞', '舞蹈表演']	['danza', 'coreografía', 'movimiento']	['ダンス', '舞踊', '舞', 'バレエ']	"[""무용"", ""댄스"", ""발레"", ""춤사위""]"	"[""ballo"", ""balletto"", ""coreografia""]"
word	word	mot	Wort	слово	词	palabra	言葉	단어	parola	['term', 'expression', 'vocable', 'phrase']	['terme', 'vocable', 'parole']	['Ausdruck', 'Begriff', 'Vokabel', 'Terminus']	['речь', 'выражение', 'термин']	['单词', '词语', '词汇']	['término', 'vocablo', 'expresión', 'voz']	['単語', '語句', '言語', '辞']	"[""낱말"", ""용어"", ""어휘"", ""언어""]"	"[""termine"", ""vocabolo"", ""espressione""]"
pair	pair	paire	Paar	пара	对	par	対	쌍	paio	['couple', 'duo', 'twosome', 'dyad']	['couple', 'duo']	['Duo', 'Zweiergruppe', 'Zweiheit']	['двойка', 'чета', 'дуэт']	['双', '一对', '配对']	['pareja', 'dúo', 'dupla']	['ペア', '組', '双子', 'カップル']	"[""두 개"", ""커플"", ""짝"", ""한 쌍""]"	"[""coppia"", ""duo"", ""accoppiata""]"
seat	seat	siège	Sitz	сиденье	座位	asiento	座席	좌석	sedile	['chair', 'bench', 'stool', 'perch']	['chaise', 'banc', 'fauteuil']	['Stuhl', 'Platz', 'Sitzgelegenheit', 'Sessel']	['место', 'кресло', 'стул']	['位置', '席位', '坐席']	['silla', 'banco', 'butaca', 'puesto']	['席', 'シート', '腰掛け', '椅子']	"[""의자"", ""자리"", ""석"", ""착석""]"	"[""sedia"", ""posto"", ""seggio""]"
light	light	lumière	Licht	свет	光	luz	光	빛	luce	['illumination', 'glow', 'beam', 'ray']	['clarté', 'éclairage', 'lueur']	['Beleuchtung', 'Helligkeit', 'Schein', 'Leuchte']	['освещение', 'сияние', 'лампа']	['光线', '光芒', '亮光', '光照']	['iluminación', 'claridad', 'luminosidad', 'faro']	['明かり', '照明', '光線', 'ライト']	"[""광"", ""조명"", ""햇빛"", ""불빛""]"	"[""illuminazione"", ""chiarore"", ""luminosità""]"
thousand	thousand	mille	tausend	тысяча	千	mil	千	천	mille	['grand', 'millennium']	['millier']	['Jahrtausend', 'Großzahl']	['тысячка']	['仟', '千个', '千份']	['millar', 'millares']	['千個', '幾千', 'サウザンド']	"[""일천"", ""천개"", ""천 명""]"	"[""migliaio"", ""millesimo""]"
north	north	nord	Norden	север	北	norte	北	북	nord	['boreal', 'arctic', 'septentrional']	['septentrion']	['Nord', 'Nordrichtung', 'Mitternacht']	['северный', 'норд']	['北方', '北边', '北部']	['septentrión', 'boreal', 'septentrional']	['北部', '北側', '北方', '北極']	"[""북쪽"", ""북부"", ""북방"", ""북극""]"	"[""settentrione"", ""tramontana"", ""borea""]"
machine	machine	machine	Maschine	машина	机器	máquina	機械	기계	macchina	['apparatus', 'device', 'mechanism', 'contraption']	['appareil', 'engin', 'mécanisme']	['Gerät', 'Apparat', 'Vorrichtung', 'Automat']	['механизм', 'аппарат', 'устройство']	['设备', '仪器', '装置']	['aparato', 'dispositivo', 'mecanismo', 'artefacto']	['装置', '器械', 'マシン', '機器']	"[""장치"", ""기구"", ""설비"", ""자동차""]"	"[""apparecchio"", ""congegno"", ""dispositivo""]"
time	time	temps	Zeit	время	时间	tiempo	時間	시간	tempo	['period', 'era', 'age', 'epoch']	['durée', 'période', 'époque']	['Uhrzeit', 'Zeitpunkt', 'Epoche', 'Ära']	['пора', 'период', 'эпоха']	['时候', '时刻', '时光']	['hora', 'momento', 'época', 'era', 'duración']	['時刻', '期間', '時代', '暇']	"[""때"", ""시각"", ""시기"", ""기간""]"	"[""ora"", ""periodo"", ""epoca"", ""stagione""]"
friend	friend	ami	Freund	друг	朋友	amigo	友達	친구	amico	['companion', 'ally', 'comrade', 'buddy']	['copain', 'camarade', 'pote']	['Kumpel', 'Kamerad', 'Gefährte', 'Vertrauter']	['приятель', 'товарищ', 'знакомый']	['伙伴', '好友', '挚友', '友人']	['compañero', 'camarada', 'aliado', 'confidente']	['友人', '仲間', '親友', '知人']	"[""벗"", ""동무"", ""우정"", ""동료""]"	"[""compagno"", ""alleato"", ""confidente""]"
color	color	couleur	Farbe	цвет	颜色	color	色	색깔	colore	['hue', 'shade', 'tint', 'pigment']	['teinte', 'nuance', 'ton']	['Farbton', 'Kolorit', 'Tönung', 'Pigment']	['окраска', 'тон', 'оттенок']	['色彩', '色调', '色泽']	['tono', 'matiz', 'tinte', 'pigmento']	['色彩', '色調', '色合い', 'カラー']	"[""색상"", ""빛깔"", ""색조"", ""채색""]"	"[""tinta"", ""tonalità"", ""colorazione"", ""nuance""]"
kind	kind	gentil	Art	вид	种类	tipo	種類	종류	tipo	['type', 'sort', 'variety', 'class']	['aimable', 'doux', 'bienveillant']	['Sorte', 'Gattung', 'Typ', 'Spezies']	['тип', 'разновидность', 'сорт']	['类型', '类别', '品种']	['clase', 'especie', 'categoría', 'variedad']	['類', '型', '様式', '品種']	"[""유형"", ""부류"", ""품종"", ""유""]"	"[""genere"", ""specie"", ""sorta"", ""varietà""]"
judge	judge	juge	Richter	судья	法官	juez	裁判官	판사	giudice	['magistrate', 'justice', 'adjudicator', 'arbitrator']	['magistrat', 'arbitre']	['Urteilender', 'Schiedsrichter', 'Jurist']	['арбитр', 'рефери', 'эксперт']	['法庭', '审判官', '裁判']	['magistrado', 'árbitro', 'juzgador']	['判事', '審判', '判断者', '鑑定者']	"[""심판"", ""재판관"", ""법관"", ""판결""]"	"[""magistrato"", ""arbitro"", ""esperto""]"
school	school	école	Schule	школа	学校	escuela	学校	학교	scuola	['academy', 'institution', 'college', 'university']	['établissement', 'institution', 'académie']	['Lehranstalt', 'Bildungseinrichtung', 'Gymnasium']	['училище', 'гимназия', 'лицей']	['学院', '校园', '学堂']	['colegio', 'instituto', 'academia', 'centro educativo']	['校舎', '学院', '学園', '教育機関']	"[""교육"", ""학원"", ""학당"", ""교실""]"	"[""istituto"", ""accademia"", ""collegio""]"
