word_original,en,zh,fr,ko,de,ru
box,box,盒子,boîte,상자,Kasten,коробка
branch,branch,树枝,branche,가지,Zweig,ветка
bread,bread,面包,pain,빵,Brot,хлеб
brick,brick,砖,brique,벽돌,Ziegel,кирпич
bridge,bridge,桥,pont,다리,Brücke,мост
broken,broken,破碎,cassé,부서진,kaputt,сломанный
broom,broom,扫帚,balai,빗자루,Besen,метла
brown,brown,棕色,brun,갈색,braun,коричневый
brush,brush,刷子,brosse,솔,Bürste,щётка
bucket,bucket,水桶,seau,양동이,Eimer,ведро
button,button,按钮,bouton,단추,Knopf,пуговица
calendar,calendar,日历,calendrier,달력,Kalender,календарь
camel,camel,骆驼,chameau,낙타,Kamel,верблюд
camera,camera,相机,appareil photo,카메라,Kamera,фотоаппарат
candle,candle,蜡烛,bougie,초,Kerze,свеча
carpet,carpet,地毯,tapis,카펫,Teppich,ковёр
carrot,carrot,胡萝卜,carotte,당근,Karotte,морковь
cat,cat,猫,chat,고양이,Katze,кошка
catch,catch,接,attraper,잡다,fangen,ловить
cave,cave,洞穴,grotte,동굴,Höhle,пещера
ceiling,ceiling,天花板,plafond,천장,Decke,потолок
chain,chain,链条,chaîne,사슬,Kette,цепь
chair,chair,椅子,chaise,의자,Stuhl,стул
chalk,chalk,粉笔,craie,분필,Kreide,мел
cheese,cheese,奶酪,fromage,치즈,Käse,сыр
cherry,cherry,樱桃,cerise,체리,Kirsche,вишня
chest,chest,胸部,poitrine,가슴,Brust,грудь
chicken,chicken,鸡,poulet,닭,Huhn,курица
child,child,孩子,enfant,아이,Kind,ребёнок
chin,chin,下巴,menton,턱,Kinn,подбородок
circle,circle,圆圈,cercle,원,Kreis,круг
city,city,城市,ville,도시,Stadt,город
clap,clap,拍手,applaudir,박수치다,klatschen,хлопать
clay,clay,粘土,argile,점토,Ton,глина
clean,clean,干净,propre,깨끗한,sauber,чистый
climb,climb,爬,grimper,오르다,klettern,лезть
cloak,cloak,斗篷,cape,망토,Umhang,плащ
clock,clock,钟,horloge,탁상시계,Wanduhr,часы
cloth,cloth,布料,tissu,천,Tuch,ткань
cloud,cloud,云,nuage,구름,Wolke,облако
cold,cold,冷,froid,추운,kalt,холодный
color,color,颜色,couleur,색깔,Farbe,цвет
comb,comb,梳子,peigne,빗,Kamm,расчёска
cook,cook,烹饪,cuisiner,요리하다,kochen,готовить
cough,cough,咳嗽,tousser,기침하다,husten,кашлять
cow,cow,奶牛,vache,소,Kuh,корова
crawl,crawl,爬行,ramper,기다,kriechen,ползти
crown,crown,皇冠,couronne,왕관,Krone,корона
cry,cry,哭,pleurer,울다,weinen,плакать
cucumber,cucumber,黄瓜,concombre,오이,Gurke,огурец
curved,curved,弯曲,courbé,굽은,gebogen,изогнутый
dance,dance,跳舞,danser,춤추다,tanzen,танцевать
dark,dark,黑暗,sombre,어두운,dunkel,тёмный
day,day,日,jour,날,Tag,день
deaf,deaf,聋,sourd,귀먼,taub,глухой
deep,deep,深,profond,깊은,tief,глубокий
deer,deer,鹿,cerf,사슴,Hirsch,олень
defeat,defeat,失败,défaite,패배,Niederlage,поражение
desk,desk,桌子,bureau,책상,Schreibtisch,стол
dirty,dirty,脏,sale,더러운,schmutzig,грязный
dive,dive,潜水,plonger,잠수하다,tauchen,нырять
dog,dog,狗,chien,개,Hund,собака
dolphin,dolphin,海豚,dauphin,돌고래,Delfin,дельфин
donkey,donkey,驴,âne,당나귀,Esel,осёл
door,door,门,porte,문,Tür,дверь
dot,dot,点,point,점,Punkt,точка
dove,dove,鸽子,colombe,비둘기,Taube,голубь
dream,dream,梦,rêver,꿈꾸다,träumen,мечтать
drink,drink,喝,boire,마시다,trinken,пить
drip,drip,滴,goutte,방울,tropfen,капать
drum,drum,鼓,tambour,북,Trommel,барабан
dry,dry,干燥,sec,마른,trocken,сухой
duck,duck,鸭子,canard,오리,Ente,утка
dust,dust,灰尘,poussière,먼지,Staub,пыль
ear,ear,耳朵,oreille,귀,Ohr,ухо
earring,earring,耳环,boucle,귀걸이,Ohrring,серьга
east,east,东,est,동쪽,Osten,восток
eat,eat,吃,manger,먹다,essen,есть
egg,egg,蛋,œuf,계란,Ei,яйцо
elbow,elbow,肘部,coude,팔꿈치,Ellbogen,локоть
empty,empty,空,vide,빈,leer,пустой
fall,fall,摔倒,tomber,넘어지다,fallen,падать
fan,fan,扇子,éventail,부채,Fächer,веер
fast,fast,快,rapide,빠른,schnell,быстрый
feather,feather,羽毛,plume,깃털,Feder,перо
fence,fence,栅栏,clôture,울타리,Zaun,забор
fin,fin,鳍,nageoire,지느러미,Flosse,плавник
fingernail,fingernail,指甲,ongle,손톱,Fingernagel,ноготь
fire,fire,火,feu,불,Feuer,огонь
fish,fish,鱼,poisson,물고기,Fisch,рыба
five,five,五,cinq,다섯,fünf,пять
flag,flag,旗,drapeau,깃발,Fahne,флаг
flower,flower,花,fleur,꽃,Blume,цветок
foot,foot,脚,pied,발,Fuß,нога
forest,forest,森林,forêt,숲,Wald,лес
fork,fork,叉子,fourchette,포크,Gabel,вилка
fox,fox,狐狸,renard,여우,Fuchs,лиса
freeze,freeze,结冰,geler,얼다,frieren,замерзать
fresh,fresh,新鲜,frais,신선한,frisch,свежий
frog,frog,青蛙,grenouille,개구리,Frosch,лягушка
frown,frown,皱眉,froncer,찡그리다,runzeln,хмуриться
full,full,满,plein,가득한,voll,полный
fur,fur,毛皮,fourrure,모피,Fell,мех
gentle,gentle,温和,doux,부드러운,sanft,нежный
glass,glass,玻璃,verre,유리,Glas,стекло
glove,glove,手套,gant,장갑,Handschuh,перчатка
goat,goat,山羊,chèvre,염소,Ziege,коза
grab,grab,抓,saisir,잡다,greifen,хватать
grape,grape,葡萄,raisin,포도,Traube,виноград
grass,grass,草,herbe,잔디,Gras,трава
gray,gray,灰色,gris,회색,grau,серый
green,green,绿色,vert,초록,grün,зелёный
grow,grow,生长,grandir,자라다,wachsen,расти
hat,hat,帽子,chapeau,모자,Hut,шляпа
hear,hear,听,entendre,듣다,hören,слышать
heart,heart,心脏,cœur,심장,Herz,сердце
heavy,heavy,重,lourd,무거운,schwer,тяжёлый
heel,heel,脚后跟,talon,발뒤꿈치,Ferse,пятка
helmet,helmet,头盔,casque,헬멧,Helm,шлем
hide,hide,藏,cacher,숨다,verstecken,прятать
honey,honey,蜂蜜,miel,꿀,Honig,мёд
hook,hook,钩子,crochet,갈고리,Haken,крюк
horse,horse,马,cheval,말,Pferd,лошадь
hot,hot,热,chaud,뜨거운,heiß,горячий
house,house,房子,maison,집,Haus,дом
hug,hug,拥抱,étreindre,안다,umarmen,обнимать
hungry,hungry,饿,faim,배고픈,hungrig,голодный
jar,jar,罐子,bocal,병,Glas,банка
jump,jump,跳,sauter,뛰다,springen,прыгать
key,key,钥匙,clé,열쇠,Schlüssel,ключ
kitchen,kitchen,厨房,cuisine,부엌,Küche,кухня
knee,knee,膝盖,genou,무릎,Knie,колено
knife,knife,刀,couteau,칼,Messer,нож
knot,knot,结,nœud,매듭,Knoten,узел
ladder,ladder,梯子,échelle,사다리,Leiter,лестница
lake,lake,湖,lac,호수,See,озеро
laugh,laugh,笑,rire,웃다,lachen,смеяться
law,law,法律,loi,법,Gesetz,закон
lazy,lazy,懒,paresseux,게으른,faul,ленивый
leaf,leaf,叶子,feuille,잎,Blatt,лист
lemon,lemon,柠檬,citron,레몬,Zitrone,лимон
lid,lid,盖子,couvercle,뚜껑,Deckel,крышка
lizard,lizard,蜥蜴,lézard,도마뱀,Eidechse,ящерица
lock,lock,锁,serrure,자물쇠,Schloss,замок
loud,loud,吵,fort,시끄러운,laut,громкий
lunch,lunch,午餐,déjeuner,점심,Mittagessen,обед
man,man,男人,homme,남자,Mann,мужчина
maple,maple,枫树,érable,단풍나무,Ahorn,клён
melt,melt,融化,fondre,녹다,schmelzen,таять
mirror,mirror,镜子,miroir,거울,Spiegel,зеркало
mix,mix,混合,mélanger,섞다,mischen,смешивать
monkey,monkey,猴子,singe,원숭이,Affe,обезьяна
moon,moon,月亮,lune,달,Mond,луна
morning,morning,早上,matin,아침,Morgen,утро
mother,mother,母亲,mère,어머니,Mutter,мать
mountain,mountain,山,montagne,산,Berg,гора
mouth,mouth,嘴,bouche,입,Mund,рот
nail,nail,钉子,clou,못,Nagel,гвоздь
narrow,narrow,窄,étroit,좁은,eng,узкий
neck,neck,脖子,cou,목,Hals,шея
needle,needle,针,aiguille,바늘,Nadel,игла
new,new,新,nouveau,새로운,neu,новый
night,night,夜晚,nuit,밤,Nacht,ночь
nod,nod,点头,hocher,끄덕이다,nicken,кивать
noon,noon,中午,midi,정오,Mittag,полдень
nose,nose,鼻子,nez,코,Nase,нос
old,old,旧,vieux,오래된,alt,старый
open,open,打开,ouvrir,열다,öffnen,открывать
owl,owl,猫头鹰,hibou,부엉이,Eule,сова
paint,paint,画,peindre,그리다,malen,красить
paw,paw,爪子,patte,발톱,Pfote,лапа
peach,peach,桃子,pêche,복숭아,Pfirsich,персик
pear,pear,梨,poire,배,Birne,груша
pen,pen,钢笔,stylo,펜,Stift,ручка
pencil,pencil,铅笔,crayon,연필,Bleistift,карандаш
pillow,pillow,枕头,oreiller,베개,Kissen,подушка
pine,pine,松树,pin,소나무,Kiefer,сосна
plate,plate,盘子,assiette,접시,Teller,тарелка
potato,potato,土豆,pomme de terre,감자,Kartoffel,картофель
pour,pour,倒,verser,붓다,gießen,лить
pull,pull,拉,tirer,당기다,ziehen,тянуть
purple,purple,紫色,violet,보라,lila,фиолетовый
push,push,推,pousser,밀다,schieben,толкать
queen,queen,女王,reine,여왕,Königin,королева
quiet,quiet,安静,calme,조용한,leise,тихий
rabbit,rabbit,兔子,lapin,토끼,Kaninchen,кролик
rake,rake,耙,râteau,갈퀴,Rechen,грабли
red,red,红色,rouge,빨간,rot,красный
rice,rice,米饭,riz,쌀,Reis,рис
river,river,河流,rivière,강,Fluss,река
roof,roof,屋顶,toit,지붕,Dach,крыша
root,root,根,racine,뿌리,Wurzel,корень
rope,rope,绳子,corde,밧줄,Seil,верёвка
round,round,圆,rond,둥근,rund,круглый
row,row,划船,ramer,노젓다,rudern,грести
rub,rub,擦,frotter,문지르다,reiben,тереть
ruler,ruler,尺子,règle,자,Lineal,линейка
run,run,跑,courir,달리다,laufen,бежать
sad,sad,悲伤,triste,슬픈,traurig,грустный
sail,sail,帆,voile,항해하다,segeln,плыть
salt,salt,盐,sel,소금,Salz,соль
scale,scale,秤,balance,저울,Waage,весы
school,school,学校,école,학교,Schule,школа
scratch,scratch,抓痕,gratter,긁다,kratzen,царапать
scream,scream,尖叫,crier,소리지르다,schreien,кричать
sea,sea,海,mer,바다,Meer,море
sharp,sharp,锋利,aigu,날카로운,scharf,острый
sheep,sheep,羊,mouton,양,Schaf,овца
shelf,shelf,架子,étagère,선반,Regal,полка
shell,shell,贝壳,coquille,조개껍질,Muschel,ракушка
shine,shine,发光,briller,빛나다,scheinen,сиять
shirt,shirt,衬衫,chemise,셔츠,Hemd,рубашка
shoe,shoe,鞋,chaussure,신발,Schuh,ботинок
shoulder,shoulder,肩膀,épaule,어깨,Schulter,плечо
shout,shout,喊,crier,소리치다,schreien,кричать
sick,sick,病,malade,아픈,krank,больной
sing,sing,唱,chanter,노래하다,singen,петь
sit,sit,坐,asseoir,앉다,sitzen,сидеть
skate,skate,滑冰,patiner,스케이트,Schlittschuh,коньки
skin,skin,皮肤,peau,피부,Haut,кожа
skip,skip,跳跃,sauter,건너뛰다,hüpfen,прыгать
sleep,sleep,睡,dormir,자다,schlafen,спать
sleeve,sleeve,袖子,manche,소매,Ärmel,рукав
slide,slide,滑动,glisser,미끄러지다,rutschen,скользить
slow,slow,慢,lent,느린,langsam,медленный
small,small,小,petit,작은,klein,маленький
smart,smart,聪明,intelligent,똑똑한,klug,умный
smile,smile,微笑,sourire,미소짓다,lächeln,улыбаться
smooth,smooth,光滑,lisse,매끄러운,glatt,гладкий
snake,snake,蛇,serpent,뱀,Schlange,змея
snow,snow,雪,neige,눈,Schnee,снег
soap,soap,肥皂,savon,비누,Seife,мыло
sock,sock,袜子,chaussette,양말,Socke,носок
soft,soft,软,doux,부드러운,weich,мягкий
soil,soil,土壤,sol,흙,Boden,почва
song,song,歌曲,chanson,노래,Lied,песня
sour,sour,酸,aigre,신,sauer,кислый
south,south,南,sud,남쪽,Süden,юг
spark,spark,火花,étincelle,불꽃,Funke,искра
spear,spear,矛,lance,창,Speer,копьё
spine,spine,脊椎,colonne,척추,Wirbelsäule,позвоночник
spit,spit,吐,cracher,침뱉다,spucken,плевать
splash,splash,溅,éclabousser,튀기다,spritzen,плескать
spoon,spoon,勺子,cuillère,숟가락,Löffel,ложка
square,square,正方形,carré,정사각형,Quadrat,квадрат
squirrel,squirrel,松鼠,écureuil,다람쥐,Eichhörnchen,белка
stairs,stairs,楼梯,escalier,계단,Treppe,лестница
stamp,stamp,邮票,timbre,우표,Briefmarke,марка
stand,stand,站,debout,서다,stehen,стоять
stick,stick,棍子,bâton,막대기,Stock,палка
stone,stone,石头,pierre,돌,Stein,камень
stork,stork,鹳,cigogne,황새,Storch,аист
straight,straight,直,droit,똑바른,gerade,прямой
stretch,stretch,伸展,étirer,늘이다,dehnen,растягивать
string,string,绳子,ficelle,줄,Schnur,верёвка
strong,strong,强壮,fort,강한,stark,сильный
sugar,sugar,糖,sucre,설탕,Zucker,сахар
summer,summer,夏天,été,여름,Sommer,лето
sun,sun,太阳,soleil,해,Sonne,солнце
swan,swan,天鹅,cygne,백조,Schwan,лебедь
sweet,sweet,甜,sucré,달콤한,süß,сладкий
swim,swim,游泳,nager,수영하다,schwimmen,плавать
tall,tall,高,grand,키큰,groß,высокий
tap,tap,轻拍,tapoter,두드리다,tippen,стучать
tea,tea,茶,thé,차,Tee,чай
tent,tent,帐篷,tente,텐트,Zelt,палатка
thick,thick,厚,épais,두꺼운,dick,толстый
thin,thin,薄,mince,얇은,dünn,тонкий
thirsty,thirsty,渴,assoiffé,목마른,durstig,жаждущий
thread,thread,线,fil,실,Faden,нить
throat,throat,喉咙,gorge,목구멍,Kehle,горло
throw,throw,扔,jeter,던지다,werfen,бросать
thumb,thumb,拇指,pouce,엄지,Daumen,большой палец
tired,tired,疲倦,fatigué,피곤한,müde,уставший
toe,toe,脚趾,orteil,발가락,Zeh,палец ноги
tongue,tongue,舌头,langue,혀,Zunge,язык
tooth,tooth,牙齿,dent,이,Zahn,зуб
torch,torch,火炬,torche,횃불,Fackel,факел
towel,towel,毛巾,serviette,수건,Handtuch,полотенце
tower,tower,塔,tour,탑,Turm,башня
tray,tray,托盘,plateau,쟁반,Tablett,поднос
tree,tree,树,arbre,나무,Baum,дерево
turtle,turtle,乌龟,tortue,거북이,Schildkröte,черепаха
vest,vest,背心,gilet,조끼,Weste,жилет
walk,walk,走,marcher,걷다,gehen,идти
wall,wall,墙,mur,벽,Wand,стена
water,water,水,eau,물,Wasser,вода
weak,weak,弱,faible,약한,schwach,слабый
wet,wet,湿,mouillé,젖은,nass,мокрый
whale,whale,鲸鱼,baleine,고래,Wal,кит
wheel,wheel,轮子,roue,바퀴,Rad,колесо
whistle,whistle,哨子,sifflet,휘파람,Pfeife,свисток
wide,wide,宽,large,넓은,breit,широкий
window,window,窗户,fenêtre,창문,Fenster,окно
wing,wing,翅膀,aile,날개,Flügel,крыло
woman,woman,女人,femme,여자,Frau,женщина
worm,worm,虫子,ver,벌레,Wurm,червь
write,write,写,écrire,쓰다,schreiben,писать
yellow,yellow,黄色,jaune,노란,gelb,жёлтый
young,young,年轻,jeune,젊은,jung,молодой
